City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,progreso,21.2833,-89.6667,89.11,55,1,12.39,MX,1675804301
1,narsaq,60.9167,-46.05,-3.78,70,0,6.53,GL,1675803832
2,rikitea,-23.1203,-134.9692,78.93,74,93,12.28,PF,1675803788
3,punta arenas,-53.15,-70.9167,62.62,51,75,18.41,CL,1675803751
4,ribeira grande,38.5167,-28.7,55.78,66,20,11.01,PT,1675803795
5,jamestown,42.097,-79.2353,46.71,68,100,10.36,US,1675803604
6,cherskiy,68.75,161.3,-32.35,99,100,5.37,RU,1675803895
7,ushuaia,-54.8,-68.3,56.86,47,40,17.27,AR,1675803792
8,mirnyy,62.5353,113.9611,-28.71,98,100,2.13,RU,1675804302
9,mount gambier,-37.8333,140.7667,54.3,85,5,7.2,AU,1675803753
10,hinton,53.4001,-117.5857,34.03,91,100,3.38,CA,1675804303
11,ilulissat,69.2167,-51.1,-9.38,77,100,8.05,GL,1675804008
12,avarua,-21.2078,-159.775,82.45,83,89,12.66,CK,1675803839
13,belyy yar,53.6039,91.3903,4.89,92,100,0.0,RU,1675804304
14,houma,29.5958,-90.7195,79.0,66,40,11.5,US,1675804304
15,atuona,-9.8,-139.0333,78.42,77,10,15.03,PF,1675803604
16,carndonagh,55.25,-7.2667,42.42,92,41,6.15,IE,1675804305
17,saint-ambroise,48.5501,-71.3324,21.58,76,100,12.86,CA,1675804306
18,hilo,19.7297,-155.09,75.27,96,11,1.99,US,1675803625
19,albany,42.6001,-73.9662,39.67,45,100,5.01,US,1675803602
20,zhigansk,66.7697,123.3711,-52.24,100,94,4.34,RU,1675804191
21,college,64.8569,-147.8028,11.21,77,75,0.0,US,1675804183
22,bethel,41.3712,-73.414,39.36,57,100,1.01,US,1675803695
23,atar,20.5169,-13.0499,65.01,20,91,10.54,MR,1675804307
24,coxim,-18.5067,-54.76,73.24,89,100,4.72,BR,1675804308
25,khatanga,71.9667,102.5,-47.13,100,79,2.42,RU,1675803782
26,busselton,-33.65,115.3333,61.16,90,19,9.35,AU,1675803783
27,port-gentil,-0.7193,8.7815,80.56,94,20,2.3,GA,1675804309
28,san matias,-16.3667,-58.4,81.16,81,100,1.95,BO,1675804309
29,dikson,73.5069,80.5464,-13.79,93,100,20.11,RU,1675803848
30,puerto ayora,-0.7393,-90.3518,85.96,90,27,11.99,EC,1675803789
31,bac lieu,9.285,105.7244,75.11,89,40,8.14,VN,1675804310
32,yellowknife,62.456,-114.3525,-1.68,78,40,9.22,CA,1675803782
33,port alfred,-33.5906,26.891,70.18,92,100,1.99,ZA,1675803838
34,tashtyp,52.7939,89.8983,16.88,97,100,1.95,RU,1675804311
35,pokhara,28.2333,83.9833,54.25,66,88,4.99,NP,1675804300
36,honningsvag,70.9821,25.9704,35.35,69,100,25.32,NO,1675804052
37,qaanaaq,77.484,-69.3632,-22.85,64,100,5.12,GL,1675803834
38,nikolskoye,59.7035,30.7861,28.29,89,98,10.0,RU,1675803830
39,loikaw,19.6742,97.2094,53.06,36,3,3.94,MM,1675804312
40,sitka,57.0531,-135.33,37.29,75,75,3.44,US,1675804300
41,mabaruma,8.2,-59.7833,79.0,78,15,6.62,GY,1675804132
42,immokalee,26.4187,-81.4173,82.35,49,100,12.66,US,1675804156
43,chokurdakh,70.6333,147.9167,-36.18,99,99,4.21,RU,1675803883
44,ancud,-41.8697,-73.8203,64.29,76,9,9.46,CL,1675804059
45,mackay,-21.15,149.2,79.68,82,98,19.17,AU,1675804197
46,santa rosa,14.3122,121.1114,78.03,80,100,7.7,PH,1675804313
47,new norfolk,-42.7826,147.0587,55.92,64,9,1.07,AU,1675803779
48,norman wells,65.282,-126.8329,-0.94,94,100,2.51,CA,1675804013
49,kavali,14.9167,79.9833,69.71,83,77,6.67,IN,1675804314
50,mataura,-46.1927,168.8643,49.48,88,86,8.01,NZ,1675803822
51,cao bang,22.6667,106.25,62.38,99,100,2.01,VN,1675804315
52,correntina,-13.3433,-44.6367,79.29,60,77,4.09,BR,1675804315
53,bluff,-46.6,168.3333,49.8,66,73,26.17,NZ,1675803830
54,mar del plata,-38.0023,-57.5575,84.83,84,0,16.11,AR,1675803834
55,vila franca do campo,37.7167,-25.4333,54.01,82,72,13.31,PT,1675804316
56,bagdarin,54.4333,113.6,-12.57,96,5,4.07,RU,1675804316
57,bredasdorp,-34.5322,20.0403,67.89,73,99,9.69,ZA,1675803797
58,kaitangata,-46.2817,169.8464,49.24,87,98,12.24,NZ,1675803863
